Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
Mi. 06.04.2022;13:00:54;01221234567;01611222222;SPRACHE;S;00:31
Do. 07.04.2022;17:09:00;00491611233333;+491221234567;SPRACHE;E;00:43
Fr. 08.04.2022;12:29:21;00491511111111;01221234567;SPRACHE;E;01:25
Sa. 09.04.2022;00:11:23;+491221234567;00491611222222;SPRACHE;S;01:35
So. 10.04.2022;07:05:25;00491555555555;00491221234567;SPRACHE;E;00:34
Mo. 11.04.2022;08:46:31;00491511111111;01221234567;SPRACHE;E;00:42
Di. 12.04.2022;01:07:34;01611234555;00491221234567;SPRACHE;E;01:23
Mi. 13.04.2022;09:17:35;00491221234567;+491511234444;SPRACHE;S;00:30
Do. 14.04.2022;13:46:52;+491511234444;00491221234567;SPRACHE;E;01:27
Fr. 15.04.2022;14:27:08;01611222222;+491221234567;SPRACHE;E;01:38
Sa. 16.04.2022;08:15:50;01221234567;00491611222222;SPRACHE;S;01:54
So. 17.04.2022;06:48:10;+491611222222;+491221234567;SPRACHE;E;01:13
Mo. 18.04.2022;00:46:19;00491221234567;01511111111;SPRACHE;S;00:24
Di. 19.04.2022;16:55:00;+491611233333;00491221234567;SPRACHE;E;00:04
Mi. 20.04.2022;21:09:18;01611234555;00491221234567;SPRACHE;E;01:37
Do. 21.04.2022;04:09:54;01611233333;+491221234567;SPRACHE;E;00:28
Fr. 22.04.2022;16:01:32;00491221234567;+491555555555;SPRACHE;S;00:13
Sa. 23.04.2022;14:35:29;01221234567;01611234555;SPRACHE;S;00:59
So. 24.04.2022;13:18:35;+491611222222;01221234567;SPRACHE;E;00:29
Mo. 25.04.2022;19:45:58;+491221234567;00491611234555;SPRACHE;S;01:52
Di. 26.04.2022;07:19:19;00491221234567;01511111111;SPRACHE;S;00:56
Mi. 27.04.2022;12:31:29;00491555555555;00491221234567;SPRACHE;E;01:46
Do. 28.04.2022;15:06:16;01221234567;+491611222222;SPRACHE;S;00:05
Fr. 29.04.2022;13:48:55;01221234567;+491511111111;SPRACHE;S;01:05
Sa. 30.04.2022;19:28:40;00491221234567;00491511111111;SPRACHE;S;01:34
So. 01.05.2022;05:28:23;+491331234566;+491221234567;SPRACHE;E;00:44
Mo. 02.05.2022;18:58:02;00491511111111;01221234567;SPRACHE;E;01:14
Di. 03.05.2022;06:11:29;01611234555;00491221234567;SPRACHE;E;01:19
Mi. 04.05.2022;00:49:46;+491221234567;+491511111111;SPRACHE;S;01:52
Do. 05.05.2022;06:02:06;00491611233333;+491221234567;SPRACHE;E;00:52
Fr. 06.05.2022;07:15:57;01611222222;01221234567;SPRACHE;E;01:06
Sa. 07.05.2022;23:01:04;01221234567;00491511111111;SPRACHE;S;01:42
So. 08.05.2022;21:25:35;01221234567;01611222222;SPRACHE;S;01:51
Mo. 09.05.2022;01:11:30;+491611233333;01221234567;SPRACHE;E;00:34
Di. 10.05.2022;13:36:12;00491611234555;01221234567;SPRACHE;E;00:55
Mi. 11.05.2022;17:16:04;01331234566;+491221234567;SPRACHE;E;00:55
Do. 12.05.2022;05:10:45;00491221234567;+491511111111;SPRACHE;S;01:50
Fr. 13.05.2022;13:53:18;01221234567;00491511234444;SPRACHE;S;00:08
Sa. 14.05.2022;21:14:56;+491511111111;01221234567;SPRACHE;E;01:52
So. 15.05.2022;22:09:23;00491221234567;01511234444;SPRACHE;S;01:27
Mo. 16.05.2022;12:51:24;01221234567;01611233333;SPRACHE;S;01:17
Di. 17.05.2022;21:28:07;+491221234567;+491331234566;SPRACHE;S;01:05
Mi. 18.05.2022;02:55:11;01221234567;01611222222;SPRACHE;S;00:24
Do. 19.05.2022;03:11:13;+491511234444;01221234567;SPRACHE;E;01:40
Fr. 20.05.2022;21:05:48;00491221234567;00491511111111;SPRACHE;S;00:52
Sa. 21.05.2022;19:45:54;00491555555555;01221234567;SPRACHE;E;01:17
So. 22.05.2022;13:44:58;00491555555555;01221234567;SPRACHE;E;01:19
Mo. 23.05.2022;19:42:39;00491221234567;01511111111;SPRACHE;S;00:45
