Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
Mi. 06.04.2022;19:41:18;+491611233333;01611222222;SPRACHE;S;01:39
Do. 07.04.2022;21:19:24;01544444445;+491611233333;SPRACHE;E;01:27
Fr. 08.04.2022;23:09:21;+491221234567;00491611233333;SPRACHE;E;01:36
Sa. 09.04.2022;19:40:23;+491331234566;00491611233333;SPRACHE;E;01:17
So. 10.04.2022;01:16:56;01611233333;00491221234567;SPRACHE;S;01:26
Mo. 11.04.2022;21:39:25;00491513333331;01611233333;SPRACHE;E;01:21
Di. 12.04.2022;06:37:41;00491513333331;00491611233333;SPRACHE;E;00:44
Mi. 13.04.2022;15:18:34;00491221234567;01611233333;SPRACHE;E;01:01
Do. 14.04.2022;14:04:48;00491611233333;01611234555;SPRACHE;S;01:58
Fr. 15.04.2022;17:42:58;00491611233333;00491513333331;SPRACHE;S;00:49
Sa. 16.04.2022;12:53:34;+491544444445;00491611233333;SPRACHE;E;00:53
So. 17.04.2022;15:03:23;01611233333;+491331234566;SPRACHE;S;00:02
Mo. 18.04.2022;01:07:12;+491611233333;01221234567;SPRACHE;S;00:09
Di. 19.04.2022;18:30:04;01611233333;+491331234566;SPRACHE;S;01:20
Mi. 20.04.2022;06:38:44;01611233333;+491611234555;SPRACHE;S;01:29
Do. 21.04.2022;12:26:19;01611233333;+491221234567;SPRACHE;S;01:51
Fr. 22.04.2022;19:42:39;01331234566;01611233333;SPRACHE;E;00:03
Sa. 23.04.2022;06:00:22;+491611233333;00491221234567;SPRACHE;S;01:46
So. 24.04.2022;08:22:04;01611233333;+491331234566;SPRACHE;S;01:40
Mo. 25.04.2022;12:21:46;+491611233333;01513333331;SPRACHE;S;00:57
Di. 26.04.2022;20:39:35;+491611233333;+491544444445;SPRACHE;S;00:43
Mi. 27.04.2022;15:20:41;+491221234567;01611233333;SPRACHE;E;00:16
Do. 28.04.2022;05:01:28;+491611233333;01544444445;SPRACHE;S;01:37
Fr. 29.04.2022;00:35:46;00491611233333;00491611233333;SPRACHE;S;01:15
Sa. 30.04.2022;20:53:44;01611222222;01611233333;SPRACHE;E;00:18
So. 01.05.2022;20:24:56;00491611233333;00491611234555;SPRACHE;S;01:14
Mo. 02.05.2022;19:44:18;01513333331;+491611233333;SPRACHE;E;01:59
Di. 03.05.2022;16:39:20;00491611233333;01221234567;SPRACHE;S;00:14
Mi. 04.05.2022;00:10:32;01544444445;00491611233333;SPRACHE;E;01:33
Do. 05.05.2022;06:59:11;+491611233333;01544444445;SPRACHE;S;00:42
Fr. 06.05.2022;18:46:17;+491544444445;01611233333;SPRACHE;E;01:01
Sa. 07.05.2022;21:25:54;+491611234555;01611233333;SPRACHE;E;00:34
