Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
Mo. 26.02.2018;11:21:34;+491722702462;+491704935395;SPRACHE;E;07:55
Do. 19.04.2018;15:48:58;00491704935395;01722702462;SPRACHE;S;05:39
Di. 17.07.2018;22:39:03;+491704935395;01722702462;SPRACHE;S;01:21
Do. 13.09.2018;20:00:00;+491704935395;+491722702462;SPRACHE;S;03:36
Di. 18.09.2018;14:39:56;004915162234170;01704935395;SPRACHE;E;09:09
Fr. 19.10.2018;20:06:59;+491704935395;01722702462;SPRACHE;S;01:15
Sa. 20.10.2018;08:50:58;+491704935395;01510702341;SPRACHE;S;03:03
Do. 08.11.2018;10:13:38;01704935395;01722702462;SPRACHE;S;06:17
Sa. 15.12.2018;18:48:33;00491510745751;+491704935395;SPRACHE;E;04:01
So. 13.01.2019;19:55:42;+491704935395;00491510745751;SPRACHE;S;05:31
Mi. 23.01.2019;17:26:56;00491704935395;00491510745751;SPRACHE;S;08:30
Mo. 04.02.2019;16:49:45;01704935395;01510745751;SPRACHE;S;03:02
So. 10.02.2019;17:38:01;+491510745751;01704935395;SPRACHE;E;02:36
Mi. 06.03.2019;20:11:03;004915162234170;00491704935395;SPRACHE;E;09:06
Mo. 11.03.2019;21:00:43;01722702462;01704935395;SPRACHE;E;09:02
So. 31.03.2019;08:14:53;016094050149;+491704935395;SPRACHE;E;09:50
Mo. 01.04.2019;14:16:21;+4915162234170;+491704935395;SPRACHE;E;03:37
Di. 09.04.2019;14:20:07;+491510745751;00491704935395;SPRACHE;E;09:32
Di. 23.04.2019;12:11:56;00491722702462;00491704935395;SPRACHE;E;03:38
Mo. 01.07.2019;07:50:54;01704935395;01722702462;SPRACHE;S;02:39
Di. 02.07.2019;14:00:38;+491704935395;015162234170;SPRACHE;S;05:03
So. 21.07.2019;21:57:18;01722702462;+491704935395;SPRACHE;E;09:12
Do. 01.08.2019;09:49:22;01774661658;01704935395;SPRACHE;E;07:59
Sa. 21.09.2019;12:34:36;00491704935395;+491720779368;SPRACHE;S;01:04
So. 03.11.2019;08:36:47;004916094050149;00491704935395;SPRACHE;E;02:20
Fr. 13.12.2019;19:09:49;01510745751;00491704935395;SPRACHE;E;02:50
Di. 24.12.2019;18:51:55;00491704935395;004916283461833;SPRACHE;S;05:07
So. 12.01.2020;09:18:16;+4915162234170;01704935395;SPRACHE;E;07:08
Fr. 31.01.2020;20:45:17;01704935395;004915162234170;SPRACHE;S;00:14
Fr. 07.02.2020;22:54:51;+491722702462;+491704935395;SPRACHE;E;01:52
Mi. 19.02.2020;17:27:50;004915162234170;00491704935395;SPRACHE;E;00:39
Mo. 20.04.2020;21:00:47;+491510745751;01704935395;SPRACHE;E;02:42
Mi. 22.04.2020;20:44:48;+4915162234170;00491704935395;SPRACHE;E;00:52
Mi. 05.08.2020;17:24:30;00491704935395;+4915162234170;SPRACHE;S;05:44
Di. 17.11.2020;18:50:22;+491510745751;00491704935395;SPRACHE;E;09:03
Mi. 18.11.2020;22:48:53;01510745751;01704935395;SPRACHE;E;02:45
So. 10.01.2021;09:53:42;00491704935395;00491510745751;SPRACHE;S;01:27
Di. 19.01.2021;15:21:12;01722702462;00491704935395;SPRACHE;E;04:50
Di. 26.01.2021;20:18:52;01722702462;01704935395;SPRACHE;E;01:32
Mi. 07.04.2021;22:23:04;01704935395;+491722702462;SPRACHE;S;05:29
Sa. 08.05.2021;11:25:10;00491704935395;+491510745751;SPRACHE;S;02:51
Fr. 28.05.2021;20:18:06;00491704935395;015162234170;SPRACHE;S;01:26
